GeoFips,State,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
38000,North Dakota,13680,13528,12101,12197,12406,13655,14082,14035,15861,14327,15302,13745,19181,17435,16981,19458,19203,19267,19472,20737,20776,22660,25970,34090,30346,28984,26576,25767,30009,27603,23207,27336,27489,27738,28469,28576,28782,28911,25906,28115,29264,28494,30206,29579,31116,30198,32682,31385,33985,33719,35608,35519,35780,37995,37287,38142,38593,41338,45050,43553,46700,50431,57179,55321,55868,54376
39000,Ohio,15903,16846,17271,18118,17472,18643,19205,19122,18067,19035,19338,19278,19950,20387,21286,22392,23468,23652,24791,25568,25266,25592,26871,27994,27615,27045,28080,29150,29889,29640,28502,28121,27784,28590,30265,31052,31932,32189,33034,33811,33855,32940,33845,34019,34836,35315,35817,36973,38400,38768,39408,39371,39273,39390,39815,39669,40461,40732,40339,39253,39540,40891,41633,41459,42286,43478
40000,Oklahoma,11477,12061,12897,13511,13278,13823,14343,14474,15263,15663,15830,15917,16112,16359,17249,18231,18903,19742,20630,21499,22144,22660,23730,24983,24692,24940,25476,26197,27188,27796,27559,28653,29105,28111,28942,29237,29004,28242,28678,29323,29342,28757,29322,29315,29602,29804,30365,31028,32194,32433,34136,35562,35318,35486,36373,37570,39411,39510,41545,38201,39075,41133,42892,42693,43689,44272
41000,Oregon,16532,16965,17396,17337,16811,17891,18473,17772,17698,18709,18729,19096,19746,20154,21026,21918,22597,23134,23879,24373,24636,25340,26945,28015,28081,28019,29296,29928,31023,30672,29216,28319,27376,28273,29270,29581,30507,30787,31732,32758,32760,32302,32841,33402,34224,35122,36087,36839,37961,38354,39748,39269,38610,38680,39506,39362,40615,40750,40456,39098,38903,39526,40347,40113,41269,42974
42000,Pennsylvania,15332,15734,16144,16973,16248,17095,18160,18531,17944,18408,18569,18684,19354,19689,20613,21565,22517,23340,24199,24955,25247,25504,26922,27807,27557,27512,28413,29287,30056,29846,28833,28864,29063,29541,30637,31526,32549,33195,34423,35509,35527,35267,35943,36005,36165,36691,37414,38392,39804,40580,41971,42189,42302,42579,43474,43581,44913,45821,45878,45059,45563,46382,47261,46830,47736,49180
44000,Rhode Island,15755,16208,16403,17133,17023,18050,18142,17780,18010,18847,18873,19492,20445,20913,21760,22919,24185,25156,26004,25904,26255,26259,27348,27428,26538,26539,27284,27879,28377,28341,28301,28463,28749,29982,31494,32471,33961,34745,36542,37814,36608,35185,35688,36045,35997,36871,36966,38097,39876,40354,41587,42256,43079,43973,44620,44408,45592,46515,46114,45386,46453,46670,47574,46949,48416,50080
45000,South Carolina,9304,10593,11117,11363,10714,11303,11441,11336,11269,11851,12011,12390,13067,13439,14160,15282,16518,17187,18110,19084,19664,20144,21451,22405,22298,21803,22702,22919,23654,23450,22787,22917,22749,23756,25077,25697,26636,27238,28166,28878,29048,28505,29079,29328,29992,30528,31140,31859,33194,33739,34607,34608,34601,34655,35302,35682,36661,37086,36822,35904,35710,36057,36607,36090,36721,38041
46000,South Dakota,12785,13884,12155,13174,13278,12275,12801,14617,14836,13187,15518,15236,16889,16095,15735,17652,18800,18855,19445,20111,20733,21601,23946,28383,25606,25865,23981,25462,27239,26911,23811,25136,25016,25158,27126,26865,27642,28071,28009,28851,29951,29660,30790,30858,32020,31475,33592,33439,35503,36464,37530,38062,37599,39856,40859,40587,39853,42589,44139,42712,43700,46617,46240,45552,45333,45002
47000,Tennessee,10258,10420,10760,11576,11498,11984,12670,12762,12786,13415,13340,13801,14292,14779,15467,16463,17520,18010,19166,19581,19927,20699,22137,23365,22937,22622,23552,24097,25189,24818,23759,23827,23770,24513,25997,26737,27968,28795,29816,30346,30357,30165,31530,32034,32618,33450,33749,34420,36812,37159,37855,37670,37697,37941,38802,38465,38882,39126,38868,38080,38697,39327,40402,39997,40505,42069
48000,Texas,13690,13893,14373,14585,14829,15512,16034,16161,15886,16396,16175,16591,16842,17172,17967,18833,19817,20778,21747,22481,23018,23356,24581,25709,25577,26045,27017,27675,29024,29196,28615,29660,29530,29622,30637,31306,30914,30316,30804,31170,31492,31005,31895,32042,32316,32935,33716,35183,37079,37625,39042,39771,38638,38657,38993,40449,41800,42286,43915,40918,41611,43449,44912,44570,45723,46745
49000,Utah,13621,14531,14767,14718,14371,15282,15877,16321,16066,16632,16903,17225,18106,18280,18908,19390,19766,20047,20467,20867,21594,22432,23554,23931,23514,23358,24202,24832,25581,25011,23776,23613,23510,23806,24744,25314,25773,25788,26152,26557,26959,27010,27523,27919,28594,29520,30403,31353,32595,33271,34109,34411,34202,33899,34561,35678,37370,38458,37993,35826,35450,36263,37159,37179,37709,39045
50000,Vermont,11516,12270,12450,12818,12987,13646,14631,14736,14451,15141,15646,16100,16599,16816,17692,18856,20381,20892,21713,22223,22578,22999,24116,24615,23745,23446,24381,24480,25767,25667,25082,25464,25770,26448,27801,28830,30287,31421,32423,33733,32767,31787,32792,32758,33208,33752,34267,35092,36918,37985,39305,40107,40272,40936,42224,41684,43026,43964,44156,43383,43550,45030,45719,45620,46483,47864
51000,Virginia,13080,13820,14471,14656,14811,15556,15990,15798,15591,16388,16479,16924,17713,18373,19649,20624,21485,22538,23661,25013,25418,26388,27926,28938,28476,28239,29021,29768,30932,30711,30309,30405,30694,31757,33401,34508,35942,36681,37879,38527,37789,37296,37892,38131,38604,38924,39219,40390,42048,43362,44685,45116,44998,46044,47370,48588,49832,50780,50219,49116,49361,50250,50915,49809,50405,52136
53000,Washington,17565,17731,18344,19103,19085,19474,19667,19839,19347,20036,20162,20785,21747,21874,22570,23905,25494,26086,27046,27409,26750,26751,27949,29366,29404,29883,30725,31325,32902,32859,31704,31461,31095,31909,32503,32907,34175,34384,35114,36229,36563,36635,37401,37308,37576,37882,38947,40311,42797,44212,45259,44487,44306,44651,46157,45818,47267,49102,48944,46675,46544,47206,48875,48295,49669,51146
54000,West Virginia,10366,10784,11171,11354,10829,11709,12940,13529,13073,13358,13348,13579,14174,14709,15475,16381,17001,17528,17885,18264,19230,19945,21076,21593,21447,21891,22606,23385,24003,23816,22934,22633,22638,22571,23478,23867,24322,24376,25343,25951,26424,26319,27417,27435,27844,27921,28237,28817,29562,29695,30432,31191,31891,31777,31993,31991,33294,33512,34563,34722,34896,36048,36518,35776,36175,37047
55000,Wisconsin,14841,15898,16171,16378,15692,16671,17436,17460,17067,18139,18097,18280,18938,19031,19986,20970,22070,22453,23341,24212,24306,24808,26061,27246,26841,26781,27688,28868,29860,29826,28724,28312,28101,28704,30176,30640,31697,32129,32465,33563,33329,32822,34017,34335,35209,35629,36296,37375,39109,39560,40442,40783,40921,41098,41845,41640,42640,43066,42911,42335,42190,43030,43836,43482,44238,45617
56000,Wyoming,17486,18314,17647,17692,16944,17599,18299,18691,18363,18970,18897,19342,20052,20077,20253,21008,21514,22403,22809,23786,24539,25639,27382,29536,30173,30024,30200,31810,33735,33770,33067,33042,31782,30224,30545,31149,30635,29546,29684,31485,32622,32453,32870,33215,33374,33633,33898,35393,36978,38533,39859,41135,41425,43024,44784,47530,51949,52018,53869,47675,48746,51779,53840,52694,54649,55303
