Series ID,State,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
LAUST400000000000003,Oklahoma,0.057,0.049,0.036,0.034,0.044,0.036,0.06,0.084,0.071,0.072,0.082,0.073,0.064,0.056,0.057,0.063,0.06,0.059,0.056,0.046,0.041,0.041,0.043,0.035,0.03,0.037,0.047,0.055,0.049,0.045,0.04,0.041,0.037,0.064,0.068,0.059,0.053,0.053,0.045,0.042,0.048,0.042,0.034
LAUST410000000000003,Oregon,0.094,0.074,0.06,0.067,0.085,0.098,0.115,0.108,0.094,0.088,0.08,0.063,0.058,0.054,0.055,0.064,0.074,0.07,0.054,0.049,0.057,0.057,0.057,0.055,0.051,0.064,0.075,0.081,0.073,0.062,0.053,0.052,0.065,0.113,0.106,0.095,0.088,0.079,0.069,0.057,0.048,0.041,0.042
LAUST420000000000003,Pennsylvania,0.08,0.077,0.069,0.069,0.08,0.084,0.112,0.115,0.091,0.08,0.069,0.056,0.05,0.047,0.055,0.07,0.076,0.07,0.063,0.059,0.054,0.051,0.046,0.044,0.041,0.048,0.056,0.057,0.054,0.05,0.046,0.044,0.053,0.08,0.085,0.079,0.079,0.074,0.058,0.052,0.054,0.049,0.043
LAUST440000000000003,Rhode Island,0.082,0.08,0.066,0.064,0.072,0.078,0.097,0.083,0.055,0.046,0.041,0.036,0.031,0.041,0.063,0.086,0.089,0.077,0.069,0.063,0.054,0.051,0.046,0.042,0.041,0.046,0.05,0.053,0.052,0.05,0.049,0.052,0.078,0.11,0.112,0.111,0.104,0.093,0.077,0.058,0.052,0.044,0.041
LAUST450000000000003,South Carolina,0.072,0.069,0.057,0.05,0.067,0.081,0.111,0.099,0.069,0.069,0.064,0.055,0.047,0.046,0.048,0.061,0.067,0.073,0.062,0.052,0.058,0.046,0.038,0.043,0.038,0.052,0.058,0.069,0.068,0.067,0.064,0.057,0.068,0.112,0.112,0.105,0.092,0.076,0.064,0.062,0.05,0.043,0.034
LAUST460000000000003,South Dakota,0.033,0.033,0.031,0.034,0.048,0.05,0.055,0.052,0.044,0.048,0.046,0.042,0.041,0.04,0.038,0.035,0.033,0.034,0.033,0.03,0.032,0.029,0.028,0.027,0.025,0.031,0.032,0.035,0.037,0.038,0.031,0.028,0.031,0.049,0.05,0.047,0.043,0.038,0.034,0.034,0.03,0.032,0.03
LAUST470000000000003,Tennessee,0.061,0.062,0.058,0.058,0.074,0.09,0.117,0.115,0.085,0.079,0.079,0.066,0.058,0.051,0.053,0.068,0.065,0.058,0.048,0.052,0.052,0.053,0.043,0.04,0.039,0.046,0.052,0.056,0.053,0.056,0.052,0.047,0.066,0.105,0.097,0.09,0.078,0.078,0.067,0.059,0.047,0.038,0.035
LAUST480000000000003,Texas,0.058,0.053,0.048,0.043,0.051,0.053,0.069,0.079,0.061,0.07,0.088,0.084,0.073,0.067,0.063,0.069,0.076,0.072,0.065,0.061,0.057,0.053,0.049,0.047,0.043,0.05,0.064,0.067,0.059,0.054,0.049,0.043,0.048,0.076,0.081,0.078,0.067,0.062,0.051,0.044,0.046,0.043,0.039
LAUST490000000000003,Utah,0.056,0.051,0.038,0.043,0.062,0.066,0.082,0.087,0.065,0.06,0.061,0.062,0.05,0.045,0.044,0.047,0.048,0.041,0.038,0.035,0.034,0.032,0.036,0.035,0.033,0.044,0.058,0.056,0.05,0.041,0.03,0.026,0.036,0.073,0.078,0.068,0.054,0.047,0.038,0.035,0.034,0.033,0.031
LAUST500000000000003,Vermont,0.083,0.07,0.056,0.051,0.062,0.058,0.07,0.064,0.051,0.048,0.043,0.036,0.03,0.035,0.05,0.066,0.061,0.052,0.046,0.043,0.043,0.039,0.034,0.03,0.028,0.033,0.04,0.043,0.037,0.035,0.037,0.04,0.047,0.066,0.061,0.055,0.05,0.044,0.041,0.037,0.032,0.03,0.027
LAUST510000000000003,Virginia,0.059,0.055,0.053,0.047,0.052,0.06,0.074,0.064,0.051,0.055,0.05,0.043,0.039,0.039,0.045,0.059,0.063,0.052,0.049,0.045,0.044,0.038,0.029,0.027,0.023,0.032,0.042,0.041,0.038,0.036,0.031,0.03,0.039,0.067,0.071,0.066,0.06,0.057,0.052,0.045,0.041,0.037,0.03
LAUST530000000000003,Washington,0.089,0.085,0.069,0.066,0.081,0.096,0.119,0.111,0.093,0.084,0.081,0.073,0.063,0.059,0.052,0.063,0.073,0.073,0.066,0.064,0.061,0.049,0.048,0.049,0.052,0.063,0.074,0.074,0.063,0.056,0.05,0.047,0.054,0.092,0.1,0.092,0.081,0.07,0.062,0.055,0.053,0.047,0.045
LAUST540000000000003,West Virginia,0.073,0.069,0.062,0.069,0.095,0.106,0.14,0.178,0.148,0.131,0.118,0.108,0.098,0.086,0.085,0.106,0.113,0.106,0.088,0.079,0.075,0.069,0.066,0.065,0.055,0.05,0.059,0.06,0.053,0.051,0.049,0.046,0.043,0.077,0.087,0.081,0.075,0.067,0.065,0.068,0.061,0.052,0.053
LAUST550000000000003,Wisconsin,0.055,0.051,0.05,0.046,0.072,0.08,0.105,0.102,0.074,0.072,0.07,0.059,0.044,0.043,0.044,0.055,0.051,0.048,0.045,0.038,0.036,0.036,0.034,0.031,0.035,0.045,0.054,0.057,0.05,0.047,0.047,0.049,0.049,0.086,0.087,0.078,0.07,0.068,0.055,0.045,0.04,0.033,0.03
LAUST560000000000003,Wyoming,0.04,0.034,0.03,0.027,0.039,0.041,0.062,0.082,0.063,0.069,0.089,0.08,0.065,0.061,0.053,0.052,0.056,0.053,0.05,0.048,0.049,0.048,0.047,0.046,0.039,0.038,0.04,0.043,0.038,0.036,0.032,0.028,0.031,0.063,0.064,0.058,0.053,0.047,0.043,0.041,0.053,0.042,0.041
