State,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
North Carolina,0.829650093,0.853423324,0.842526313,0.834832258,0.820607312,0.82261038,0.821921729,0.821108218,0.828602262,0.842448117,0.847280065,0.855215846,0.861259933,0.860580179,0.858912661,0.859774568,0.853053152,0.853834462,0.850879549,0.850834821,0.855358332,0.852502721,0.856858947,0.8609777,0.859614366,0.863297693,0.867633087,0.879362332,0.881782775,0.889725328,0.894092235,0.896456019,0.896594105
North Dakota,0.749520131,0.766137541,0.767169266,0.787303892,0.797796199,0.811333538,0.7936514,0.808048676,0.818966985,0.829003583,0.838591049,0.848541592,0.854084435,0.849908811,0.836316827,0.842292445,0.858742474,0.851302936,0.849969234,0.854174503,0.868552505,0.873781182,0.879008518,0.878404413,0.878084588,0.877575332,0.872413429,0.881125914,0.883747174,0.88385939,0.877564302,0.874846469,0.871358618
Ohio,0.845968211,0.864088402,0.860750838,0.855573424,0.845132754,0.838314173,0.836752365,0.833300652,0.840027943,0.850972438,0.859531283,0.870855699,0.873836879,0.877039077,0.878185378,0.881354902,0.880160299,0.878125448,0.875226395,0.878569233,0.882311219,0.880168364,0.883156322,0.887599372,0.888499621,0.889450387,0.896561041,0.901157457,0.902773791,0.90909766,0.912696713,0.913312565,0.916754023
Oklahoma,0.723513104,0.759563292,0.768497116,0.785162606,0.779126657,0.775384986,0.777406768,0.780619491,0.802259291,0.802770228,0.811728505,0.831512308,0.83008955,0.833337897,0.834881344,0.838316392,0.839146182,0.84032228,0.833094059,0.833439324,0.836828831,0.845266763,0.848718244,0.854087078,0.848599731,0.849066264,0.848609394,0.855945943,0.862353154,0.87005352,0.872627569,0.881221189,0.880611455
Oregon,0.723493675,0.77065332,0.766041312,0.767283764,0.769229692,0.765385869,0.761339698,0.784314763,0.78386317,0.795492741,0.803857601,0.820995652,0.823513372,0.821042096,0.824150894,0.824258882,0.825416744,0.829785691,0.833557437,0.839104857,0.851016196,0.853318178,0.853260874,0.852029986,0.85151541,0.852466726,0.861016461,0.872732332,0.881504164,0.88392405,0.888276989,0.890969461,0.8920842
Pennsylvania,0.849008997,0.858870843,0.856497644,0.843867361,0.828939322,0.819097273,0.823534299,0.825038966,0.83577387,0.849030678,0.856450063,0.870303182,0.876551854,0.877240337,0.878386651,0.882665066,0.880204749,0.876955396,0.871128718,0.875122073,0.873241235,0.869791892,0.879807713,0.878435589,0.882657167,0.886890807,0.894265962,0.90196659,0.90530347,0.91049698,0.914419896,0.916509765,0.918508711
Rhode Island,0.837146592,0.853323016,0.846761642,0.833831592,0.824794585,0.819314461,0.81519762,0.808327012,0.825601819,0.836878392,0.842836699,0.836820916,0.848887662,0.861702156,0.856794023,0.857125948,0.85458362,0.853430444,0.852687337,0.859648779,0.864842144,0.87277594,0.872785211,0.877659453,0.878588895,0.877764711,0.878134226,0.886256479,0.897043323,0.90294833,0.902791311,0.903001328,0.905522327
South Carolina,0.82724129,0.839348219,0.820281032,0.812657239,0.804880284,0.791354217,0.784385789,0.788669162,0.79588651,0.806982791,0.824144183,0.845424092,0.848139047,0.850455486,0.843052387,0.838088353,0.839385708,0.830511106,0.828608525,0.83666337,0.839281075,0.836452007,0.843426273,0.848072961,0.847862668,0.850963271,0.860294989,0.870491712,0.877005682,0.887130325,0.891033724,0.895097549,0.896657589
South Dakota,0.768206655,0.777822076,0.79217361,0.803976506,0.799767111,0.801318385,0.7925217,0.795835837,0.795064545,0.797720684,0.806482755,0.825380781,0.828439378,0.832155564,0.837557972,0.844590753,0.850345921,0.845678589,0.843828195,0.838893828,0.853667656,0.846369056,0.858412787,0.8571141,0.868532003,0.867938308,0.865681945,0.876178956,0.879809609,0.882899476,0.884406195,0.893596538,0.893146006
Tennessee,0.812989135,0.826915109,0.825298774,0.821666717,0.818091284,0.809247616,0.809411569,0.811184245,0.821314872,0.829719165,0.832482901,0.84844302,0.853717894,0.845205503,0.854297167,0.858152314,0.860657003,0.858858329,0.858433431,0.862913123,0.869671937,0.868360506,0.872025874,0.87948916,0.875175416,0.876753099,0.878132053,0.893865216,0.896571272,0.901417966,0.901651346,0.900161201,0.901332907
Texas,0.749161014,0.769742485,0.765879453,0.767674412,0.760138304,0.779600377,0.785079488,0.791800198,0.791695841,0.795898624,0.801352579,0.813297088,0.813890717,0.812405301,0.814923871,0.819657017,0.82307071,0.825656191,0.830201855,0.830365448,0.829266897,0.8292186,0.835972267,0.841121309,0.840314027,0.840918905,0.846028924,0.854504359,0.856810822,0.865012346,0.86827161,0.869741483,0.869518834
Utah,0.76276034,0.768522217,0.773683214,0.773912191,0.770908331,0.781087083,0.778112727,0.782164211,0.77712027,0.787232468,0.802513178,0.798400153,0.812745905,0.811927875,0.804760533,0.806518606,0.79506582,0.78722037,0.797108206,0.811964281,0.825306655,0.825724806,0.826174331,0.818360848,0.808941726,0.815283147,0.827691228,0.848461742,0.855204856,0.858928673,0.864594451,0.860935093,0.857389284
Vermont,0.769208049,0.799460125,0.795624574,0.802014719,0.785208804,0.773834358,0.760820034,0.763035157,0.776543651,0.793031501,0.81819677,0.831345643,0.829745354,0.844445246,0.844734433,0.85177976,0.853073767,0.851406759,0.852580456,0.862122893,0.856300003,0.853390824,0.863862845,0.85985489,0.877629224,0.877102481,0.880127965,0.874324376,0.879877661,0.896860525,0.868865062,0.907692547,0.910948832
Virginia,0.808230347,0.823424019,0.828695119,0.81618357,0.799235048,0.805226835,0.806083094,0.807510234,0.815713816,0.830938218,0.839799287,0.853902134,0.852918135,0.853598067,0.854998435,0.856591815,0.85761593,0.859288785,0.85792901,0.860293202,0.866136613,0.865624974,0.869311973,0.870268185,0.865645126,0.873301525,0.874829768,0.884099549,0.888312047,0.89377352,0.896275155,0.898769144,0.900801067
Washington,0.752188493,0.777928862,0.776176153,0.774093014,0.770507133,0.762191006,0.763036232,0.781117781,0.780521651,0.792135523,0.795078603,0.813016017,0.818663076,0.81951329,0.827765465,0.827466051,0.827354439,0.822861231,0.820145581,0.826427333,0.840709588,0.839780782,0.846432143,0.850325276,0.847841749,0.850340423,0.857590589,0.871364048,0.875052362,0.881529558,0.886332073,0.889639923,0.892508332
West Virginia,0.818506598,0.827006916,0.835257773,0.820633762,0.796939226,0.788392393,0.784247105,0.782979014,0.788522343,0.813871925,0.832090026,0.840376204,0.847647886,0.847640977,0.850068413,0.861768801,0.864175452,0.868401731,0.867813605,0.872154797,0.873806309,0.871705774,0.873216734,0.8747409,0.87315336,0.880363637,0.884056171,0.886839733,0.890546781,0.898037263,0.902636577,0.911872383,0.913809351
Wisconsin,0.829860693,0.846164881,0.849003614,0.840848365,0.85068829,0.81777315,0.821987284,0.827566446,0.834942056,0.843820688,0.85309977,0.867619233,0.872172466,0.875176317,0.877408362,0.881580432,0.876809941,0.875218527,0.873640926,0.873986306,0.874242297,0.87156535,0.875336968,0.88309846,0.886031648,0.89230256,0.897740268,0.902925525,0.909627503,0.915047003,0.922006574,0.922880719,0.922685022
Wyoming,0.629347975,0.69096097,0.72066026,0.734236053,0.734369916,0.739504154,0.748669011,0.765321145,0.778778438,0.791912447,0.796868162,0.806497416,0.800514652,0.798418195,0.798319885,0.797032382,0.789893651,0.801981696,0.796660645,0.796916194,0.800478955,0.805637254,0.818571552,0.8185257,0.818610824,0.818767591,0.828459132,0.839045332,0.84640674,0.857752419,0.856514715,0.863481942,0.867641937
