State,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
North Carolina,0.139795129,0.119498267,0.124103238,0.132357274,0.148138233,0.143103348,0.144711202,0.150359378,0.14471122,0.132198778,0.127579702,0.121182898,0.111380337,0.112663137,0.112046562,0.111827663,0.114503275,0.116646557,0.122683662,0.123634021,0.117960277,0.121781091,0.116383284,0.110500623,0.111269643,0.112262805,0.109487603,0.100379199,0.094901425,0.089888782,0.087616969,0.086241111,0.084386606
North Dakota,0.204061929,0.185504359,0.187992702,0.17470038,0.165967509,0.144564373,0.167658238,0.159687233,0.151113656,0.143009189,0.135544695,0.122922287,0.117533798,0.120232421,0.12497955,0.133047334,0.109132864,0.115489092,0.120716449,0.121113096,0.107315315,0.105710922,0.09789585,0.095499883,0.095435116,0.097230519,0.104703104,0.098489963,0.098644771,0.093869764,0.092578599,0.09902215,0.103058833
Ohio,0.124886038,0.113657735,0.112036771,0.117329816,0.126776482,0.129038465,0.136046762,0.1388404,0.13578038,0.126295753,0.119147037,0.10757015,0.103259766,0.100613567,0.098819449,0.09505906,0.094771363,0.098350592,0.102534033,0.101972142,0.093539845,0.098119639,0.095978012,0.088350742,0.087876153,0.090807758,0.084461347,0.082274723,0.079391575,0.075250555,0.071595935,0.072296269,0.068178136
Oklahoma,0.216586252,0.197258878,0.186063618,0.173325613,0.179083491,0.171836659,0.183762791,0.182043335,0.165502089,0.162735648,0.154992436,0.136961042,0.134326589,0.132870983,0.131782397,0.124929162,0.12446823,0.127572636,0.13498769,0.137790258,0.130131082,0.129034074,0.12381398,0.114461739,0.117593234,0.122564652,0.124935343,0.120871453,0.112714611,0.108705613,0.105923794,0.096923777,0.09513728
Oregon,0.23053041,0.181286581,0.188399499,0.188512107,0.187095163,0.187103287,0.198696503,0.180826155,0.175058686,0.169836113,0.159550926,0.148274281,0.141867191,0.144182906,0.137066511,0.144195065,0.140047641,0.141153236,0.138248934,0.135236644,0.120332868,0.120837731,0.116684143,0.117244807,0.116820098,0.120254937,0.115101937,0.106649967,0.097908066,0.096257045,0.090770093,0.089789439,0.087522381
Pennsylvania,0.123222504,0.116322893,0.116364472,0.126268685,0.136717494,0.146031912,0.147954996,0.147258421,0.140284233,0.12739808,0.120245634,0.108911164,0.100201581,0.09967136,0.098495562,0.095276679,0.094892289,0.099693402,0.104717912,0.10470116,0.102925731,0.109150915,0.099217145,0.096026892,0.093060182,0.095348642,0.08847919,0.082379924,0.077914925,0.073829385,0.070478882,0.06909318,0.06581278
Rhode Island,0.136496018,0.122909754,0.124567297,0.13499882,0.141736016,0.141066456,0.152310092,0.155830977,0.147202557,0.138199955,0.131536063,0.140479787,0.113932322,0.117174167,0.116340471,0.117145144,0.114242519,0.125400109,0.113675304,0.119453481,0.112896875,0.099540793,0.100591073,0.097127035,0.098220091,0.096564632,0.099393013,0.097531364,0.085495168,0.079044808,0.080671407,0.080736448,0.075018001
South Carolina,0.136932653,0.13213861,0.140982019,0.149530754,0.158593638,0.166626061,0.168046207,0.18036372,0.173492536,0.163175135,0.14625474,0.128227777,0.118237722,0.118404473,0.127290818,0.130624184,0.125598298,0.138667181,0.142698287,0.135628723,0.130433222,0.130396188,0.128602853,0.121792241,0.12200836,0.120777398,0.117491279,0.103094349,0.101976889,0.092556636,0.090296847,0.085754662,0.083574074
South Dakota,0.187369227,0.180750621,0.163790101,0.155469771,0.161299004,0.144348173,0.169309418,0.174674167,0.166472648,0.164976552,0.163367479,0.143416024,0.136056983,0.138523081,0.129594062,0.123840669,0.118138011,0.125134647,0.124852148,0.132214198,0.11811477,0.126891435,0.118248952,0.117330208,0.102055402,0.107135263,0.107881291,0.101856855,0.095625249,0.09707563,0.094361425,0.090043158,0.082958226
Tennessee,0.15027967,0.140495891,0.136865975,0.143654521,0.145463593,0.150137797,0.158512174,0.154371875,0.147694648,0.138093003,0.140019409,0.123945083,0.115835025,0.125935879,0.115706026,0.113600109,0.109085751,0.11235138,0.11714803,0.114251702,0.10315637,0.106013782,0.102991619,0.09493922,0.098139028,0.100607631,0.100241788,0.088693673,0.084445893,0.080537936,0.080035339,0.082989462,0.082381261
Texas,0.200720631,0.18778139,0.189075244,0.188506526,0.195473006,0.174784206,0.175785407,0.169979052,0.168611126,0.16561151,0.15840023,0.151801912,0.149608005,0.15081982,0.148585856,0.145145059,0.140094105,0.141129971,0.139502834,0.138611485,0.133199601,0.138671593,0.132012217,0.124085343,0.127819333,0.130149841,0.126132757,0.120723343,0.116400177,0.11022085,0.108064543,0.107531813,0.106233778
Utah,0.190363741,0.178973352,0.179532626,0.183238185,0.183853496,0.177256087,0.175714303,0.177490451,0.186887093,0.176193224,0.163150938,0.165412687,0.14573528,0.14413213,0.155487021,0.154687544,0.163539249,0.175845122,0.168631281,0.154594766,0.136421909,0.13650468,0.139351993,0.144544556,0.152783001,0.150741007,0.143425483,0.126605647,0.115622516,0.114164262,0.106499436,0.115138567,0.115874788
Vermont,0.189883699,0.167175379,0.158510921,0.153796909,0.167437979,0.179502616,0.196055284,0.196996641,0.190520174,0.176021711,0.150886715,0.140251431,0.140641743,0.126233551,0.123530362,0.121030672,0.115441437,0.121208394,0.120093806,0.115424024,0.113705866,0.121038261,0.10994318,0.115100532,0.097298927,0.094442249,0.100170963,0.09834363,0.10424434,0.085644951,0.11552884,0.073853739,0.072101689
Virginia,0.15683123,0.148101043,0.140430557,0.147350927,0.162531441,0.155452159,0.158392365,0.159617158,0.155972842,0.142577168,0.132200018,0.120399952,0.121133546,0.118364546,0.118774871,0.116618536,0.11214268,0.115054798,0.11769027,0.116584045,0.107095134,0.109851513,0.104454158,0.102693996,0.107062855,0.105325737,0.103135011,0.096479655,0.092905362,0.087947805,0.085903524,0.084625378,0.081019022
Washington,0.201242494,0.176756637,0.17834382,0.185359617,0.18621096,0.192131224,0.196894823,0.185132974,0.177217151,0.172598579,0.169001775,0.154219595,0.147341091,0.145163678,0.138305834,0.138259393,0.13624563,0.140678576,0.147426279,0.145518167,0.130697297,0.129660627,0.124589902,0.119471298,0.119053608,0.121410028,0.117115746,0.108402168,0.103842753,0.097857476,0.093748732,0.091862129,0.087027138
West Virginia,0.143967309,0.142165703,0.134994321,0.139807907,0.16859025,0.168440951,0.18002803,0.180190166,0.180292384,0.152232369,0.141185289,0.135211204,0.12641796,0.122494553,0.118640513,0.112069714,0.10650315,0.105555535,0.108942244,0.105942029,0.101687845,0.104847804,0.104545155,0.099533619,0.097590266,0.099368979,0.096776865,0.095815608,0.089605232,0.085487783,0.078398451,0.072177203,0.069690246
Wisconsin,0.140467824,0.127581688,0.121168499,0.12978431,0.12184439,0.14327799,0.150369665,0.146676881,0.14055825,0.131764454,0.124107519,0.110104297,0.104609733,0.101734979,0.099455612,0.096551496,0.095515956,0.101945407,0.10570901,0.104885124,0.102403374,0.106263539,0.101285649,0.095147843,0.090120737,0.088559519,0.085090404,0.081690892,0.074871238,0.070991455,0.065398652,0.063453959,0.061571736
Wyoming,0.26105881,0.241587138,0.231291759,0.216366453,0.220126357,0.202110263,0.209986606,0.196100955,0.18606359,0.171953255,0.168152114,0.149507298,0.15335678,0.164705805,0.160141358,0.162521432,0.162402492,0.161223156,0.164823125,0.16603134,0.157141479,0.161169225,0.149104646,0.146457949,0.138778987,0.147319494,0.142079096,0.132525424,0.128212034,0.118104826,0.12002496,0.113573407,0.108522315
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
