State,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Oregon,0.045975915,0.048060099,0.045559189,0.044204129,0.043675145,0.047510843,0.039963799,0.034859082,0.041078144,0.034671146,0.036591473,0.030730067,0.034619437,0.034774999,0.038782595,0.031546053,0.034535614,0.029061073,0.028193629,0.025658499,0.028650935,0.02584409,0.030054984,0.030725207,0.031664491,0.027278337,0.023881602,0.020617701,0.02058777,0.019818905,0.020952918,0.0192411,0.020393418
Pennsylvania,0.027768498,0.024806264,0.027137884,0.029863954,0.034343184,0.034870816,0.028510705,0.027702613,0.023941897,0.023571243,0.023304303,0.020785654,0.023246565,0.023088304,0.023117787,0.022058255,0.024902962,0.023351202,0.02415337,0.020176768,0.023833034,0.021057193,0.020975142,0.025537519,0.024282651,0.017760551,0.017254848,0.015653487,0.016781605,0.015673635,0.015101222,0.014397054,0.015678509
Rhode Island,0.02635739,0.023767229,0.028671061,0.031169588,0.033469399,0.039619083,0.032492288,0.035842011,0.027195623,0.024921653,0.025627239,0.022699297,0.037180016,0.021123677,0.026865506,0.025728909,0.031173861,0.021169447,0.03363736,0.02089774,0.022260981,0.027683266,0.026623716,0.025213513,0.023191014,0.025670657,0.022472761,0.016212157,0.017461509,0.018006862,0.016537283,0.016262224,0.019459673
South Carolina,0.035826057,0.02851317,0.038736949,0.037812007,0.036526078,0.042019723,0.047568005,0.030967118,0.030620954,0.029842073,0.029601077,0.02634813,0.033623231,0.031140041,0.029656795,0.031287463,0.035015994,0.030821713,0.028693188,0.027707907,0.030285703,0.033151805,0.027970874,0.030134798,0.030128972,0.02825933,0.022213732,0.026413938,0.021017429,0.020313039,0.018669429,0.019147789,0.019768337
South Dakota,0.044424119,0.041427303,0.044036289,0.040553722,0.038933885,0.054333442,0.038168882,0.029489996,0.038462807,0.037302764,0.030149766,0.031203195,0.035503639,0.029321355,0.032847965,0.031568578,0.031516068,0.029186764,0.031319657,0.028891973,0.028217574,0.026739509,0.023338261,0.025555693,0.029412594,0.024926429,0.026436764,0.021964189,0.024565142,0.020024894,0.021232379,0.016360305,0.023895768
Tennessee,0.036731194,0.032589,0.037835251,0.034678763,0.036445123,0.040614587,0.032076257,0.03444388,0.03099048,0.032187832,0.02749769,0.027611897,0.030447081,0.028858619,0.029996807,0.028247577,0.030257246,0.02879029,0.024418538,0.022835174,0.027171693,0.025625712,0.024982507,0.025571621,0.026685556,0.022639269,0.021626159,0.017441112,0.018982835,0.018044097,0.018313316,0.016849336,0.016285831
Texas,0.050118355,0.042476125,0.045045303,0.043819062,0.044388691,0.045615418,0.039135105,0.03822075,0.039693034,0.038489866,0.040247191,0.034901,0.036501278,0.036774879,0.036490272,0.035197923,0.036835186,0.033213839,0.030295311,0.031023068,0.037533502,0.032109807,0.032015517,0.034793349,0.03186664,0.028931254,0.027838319,0.024772298,0.026789001,0.024766803,0.023663847,0.022726704,0.024247388
Utah,0.046875919,0.052504431,0.04678416,0.042849624,0.045238173,0.041656831,0.04617297,0.040345339,0.035992637,0.036574308,0.034335885,0.03618716,0.041518815,0.043939995,0.039752446,0.03879385,0.041394932,0.036934508,0.034260513,0.033440953,0.038271436,0.037770514,0.034473675,0.037094596,0.038275273,0.033975846,0.028883289,0.024932611,0.029172628,0.026907064,0.028906113,0.02392634,0.026735929
Vermont,0.040908252,0.033364496,0.045864505,0.044188372,0.047353218,0.046663027,0.043124681,0.039968202,0.032936175,0.030946788,0.030916514,0.028402926,0.029612903,0.029321203,0.031735205,0.027189568,0.031484796,0.027384848,0.027325738,0.022453083,0.029994131,0.025570915,0.026193975,0.025044578,0.025071849,0.02845527,0.019701072,0.027331994,0.015877998,0.017494525,0.015606098,0.018453714,0.016949479
Virginia,0.034938423,0.028474938,0.030874324,0.036465502,0.038233511,0.039321006,0.035524541,0.032872608,0.028313342,0.026484614,0.028000695,0.025697914,0.025948319,0.028037387,0.026226695,0.026789649,0.03024139,0.025656417,0.02438072,0.023122753,0.026768253,0.024523513,0.026233869,0.02703782,0.027292018,0.021372738,0.022035221,0.019420796,0.018782591,0.018278675,0.017821321,0.016605478,0.018179911
Washington,0.046569012,0.045314502,0.045480027,0.04054737,0.043281907,0.04567777,0.040068945,0.033749245,0.042261197,0.035265898,0.035919622,0.032764388,0.033995833,0.035323033,0.033928702,0.034274555,0.036399931,0.036460193,0.03242814,0.0280545,0.028593115,0.030558591,0.028977954,0.030203425,0.033104643,0.028249549,0.025293665,0.020233785,0.021104885,0.020612966,0.019919194,0.018497948,0.02046453
West Virginia,0.037526093,0.030827381,0.029747906,0.039558331,0.034470524,0.043166656,0.035724865,0.03683082,0.031185273,0.033895707,0.026724685,0.024412592,0.025934153,0.02986447,0.031291074,0.026161485,0.029321398,0.026042734,0.02324415,0.021903174,0.024505846,0.023446422,0.022238111,0.025725481,0.029256375,0.020267384,0.019166964,0.017344659,0.019847987,0.016474954,0.018964972,0.015950414,0.016500403
Wisconsin,0.029671483,0.026253431,0.029827887,0.029367325,0.02746732,0.03894886,0.02764305,0.025756673,0.024499693,0.024414858,0.022792711,0.022276471,0.023217802,0.023088704,0.023136026,0.021868073,0.027674103,0.022836066,0.020650064,0.02112857,0.023354329,0.022171111,0.023377383,0.021753697,0.023847615,0.01913792,0.017169328,0.015383584,0.015501258,0.013961543,0.012594774,0.013665322,0.015743242
Wyoming,0.109593215,0.067451892,0.048047981,0.049397493,0.045503726,0.058385583,0.041344383,0.0385779,0.035157971,0.036134298,0.034979724,0.043995286,0.046128568,0.036876,0.041538757,0.040446186,0.047703857,0.036795148,0.038516231,0.037052466,0.042379566,0.033193522,0.032323802,0.035016351,0.04261019,0.033912915,0.029461772,0.028429245,0.025381227,0.024142755,0.023460325,0.022944651,0.023835748
